location,target,type,bin,value
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,0,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,0.1,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,0.2,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,0.3,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,0.4,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,0.5,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,0.6,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,0.7,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,0.8,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,0.9,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,1,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,1.1,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,1.2,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,1.3,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,1.4,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,1.5,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,1.6,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,1.7,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,1.8,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,1.9,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,2,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,2.1,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,2.2,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,2.3,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,2.4,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,2.5,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,2.6,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,2.7,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,2.8,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,2.9,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,3,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,3.1,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,3.2,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,3.3,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,3.4,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,3.5,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,3.6,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,3.7,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,3.8,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,3.9,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,4,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,4.1,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,4.2,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,4.3,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,4.4,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,4.5,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,4.6,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,4.7,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,4.8,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,4.9,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,5,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,5.1,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,5.2,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,5.3,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,5.4,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,5.5,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,5.6,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,5.7,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,5.8,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,5.9,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,6,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,6.1,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,6.2,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,6.3,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,6.4,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,6.5,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,6.6,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,6.7,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,6.8,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,6.9,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,7,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,7.1,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,7.2,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,7.3,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,7.4,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,7.5,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,7.6,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,7.7,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,7.8,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,7.9,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,8,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,8.1,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,8.2,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,8.3,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,8.4,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,8.5,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,8.6,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,8.7,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,8.8,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,8.9,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,9,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,9.1,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,9.2,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,9.3,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,9.4,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,9.5,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,9.6,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,9.7,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,9.8,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,9.9,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,10,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,10.1,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,10.2,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,10.3,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,10.4,0.003984064
28th MED GRP-ELLSWORTH AFB,1 wk ahead,bin,10.5,0.003984064
